missing in API (0): none

capital en updates (237):
ad: en "Andorra" -> "Andorra la Vella"
ae: en "United Arab Emirates" -> "Abu Dhabi"
af: en "Afghanistan" -> "Kabul"
ag: en "Antigua & Barbuda" -> "Saint John's"
ai: en "Anguilla" -> "The Valley"
al: en "Albania" -> "Tirana"
am: en "Armenia" -> "Yerevan"
ao: en "Angola" -> "Luanda"
ar: en "Argentina" -> "Buenos Aires"
as: en "American Samoa" -> "Pago Pago"
at: en "Austria" -> "Vienna"
au: en "Australia" -> "Canberra"
aw: en "Aruba" -> "Oranjestad"
ax: en "Åland Islands" -> "Mariehamn"
az: en "Azerbaijan" -> "Baku"
ba: en "Bosnia & Herzegovina" -> "Sarajevo"
bb: en "Barbados" -> "Bridgetown"
bd: en "Bangladesh" -> "Dhaka"
be: en "Belgium" -> "Brussels"
bf: en "Burkina Faso" -> "Ouagadougou"
bg: en "Bulgaria" -> "Sofia"
bh: en "Bahrain" -> "Manama"
bi: en "Burundi" -> "Gitega"
bj: en "Benin" -> "Porto-Novo"
bl: en "St. Barthélemy" -> "Gustavia"
bm: en "Bermuda" -> "Hamilton"
bn: en "Brunei" -> "Bandar Seri Begawan"
bo: en "Bolivia" -> "Sucre"
bq: en "Caribbean Netherlands" -> "Kralendijk"
br: en "Brazil" -> "Brasília"
bs: en "Bahamas" -> "Nassau"
bt: en "Bhutan" -> "Thimphu"
bw: en "Botswana" -> "Gaborone"
by: en "Belarus" -> "Minsk"
bz: en "Belize" -> "Belmopan"
ca: en "Canada" -> "Ottawa"
cc: en "Cocos Islands" -> "West Island"
cd: en "Congo - Kinshasa" -> "Kinshasa"
cf: en "Central African Republic" -> "Bangui"
cg: en "Congo - Brazzaville" -> "Brazzaville"
ch: en "Switzerland" -> "Bern"
ci: en "Côte d’Ivoire" -> "Yamoussoukro"
ck: en "Cook Islands" -> "Avarua"
cl: en "Chile" -> "Santiago"
cm: en "Cameroon" -> "Yaoundé"
cn: en "China" -> "Beijing"
co: en "Colombia" -> "Bogotá"
cr: en "Costa Rica" -> "San José"
cu: en "Cuba" -> "Havana"
cv: en "Cape Verde" -> "Praia"
cw: en "Curaçao" -> "Willemstad"
cx: en "Christmas Island" -> "Flying Fish Cove"
cy: en "Cyprus" -> "Nicosia"
cz: en "Czechia" -> "Prague"
de: en "Germany" -> "Berlin"
dk: en "Denmark" -> "Copenhagen"
dm: en "Dominica" -> "Roseau"
do: en "Dominican Republic" -> "Santo Domingo"
dz: en "Algeria" -> "Algiers"
ec: en "Ecuador" -> "Quito"
ee: en "Estonia" -> "Tallinn"
eg: en "Egypt" -> "Cairo"
eh: en "Western Sahara" -> "El Aaiún"
er: en "Eritrea" -> "Asmara"
es: en "Spain" -> "Madrid"
et: en "Ethiopia" -> "Addis Ababa"
fi: en "Finland" -> "Helsinki"
fj: en "Fiji" -> "Suva"
fk: en "Falkland Islands" -> "Stanley"
fm: en "Micronesia" -> "Palikir"
fo: en "Faroe Islands" -> "Tórshavn"
fr: en "France" -> "Paris"
ga: en "Gabon" -> "Libreville"
gb: en "United Kingdom" -> "London"
gd: en "Grenada" -> "St. George's"
ge: en "Georgia" -> "Tbilisi"
gf: en "French Guiana" -> "Cayenne"
gg: en "Guernsey" -> "St. Peter Port"
gh: en "Ghana" -> "Accra"
gl: en "Greenland" -> "Nuuk"
gm: en "Gambia" -> "Banjul"
gn: en "Guinea" -> "Conakry"
gp: en "Guadeloupe" -> "Basse-Terre"
gq: en "Equatorial Guinea" -> "Ciudad de la Paz"
gr: en "Greece" -> "Athens"
gs: en "South Georgia & South Sandwich Islands" -> "King Edward Point"
gt: en "Guatemala" -> "Guatemala City"
gu: en "Guam" -> "Hagåtña"
gw: en "Guinea-Bissau" -> "Bissau"
gy: en "Guyana" -> "Georgetown"
hk: en "Hong Kong" -> "City of Victoria"
hn: en "Honduras" -> "Tegucigalpa"
hr: en "Croatia" -> "Zagreb"
ht: en "Haiti" -> "Port-au-Prince"
hu: en "Hungary" -> "Budapest"
id: en "Indonesia" -> "Jakarta"
ie: en "Ireland" -> "Dublin"
im: en "Isle of Man" -> "Douglas"
in: en "India" -> "New Delhi"
io: en "British Indian Ocean Territory" -> "Diego Garcia"
iq: en "Iraq" -> "Baghdad"
ir: en "Iran" -> "Tehran"
is: en "Iceland" -> "Reykjavik"
it: en "Italy" -> "Rome"
je: en "Jersey" -> "Saint Helier"
jm: en "Jamaica" -> "Kingston"
jo: en "Jordan" -> "Amman"
jp: en "Japan" -> "Tokyo"
ke: en "Kenya" -> "Nairobi"
kg: en "Kyrgyzstan" -> "Bishkek"
kh: en "Cambodia" -> "Phnom Penh"
ki: en "Kiribati" -> "South Tarawa"
km: en "Comoros" -> "Moroni"
kn: en "St. Kitts & Nevis" -> "Basseterre"
kp: en "North Korea" -> "Pyongyang"
kr: en "South Korea" -> "Seoul"
kw: en "Kuwait" -> "Kuwait City"
ky: en "Cayman Islands" -> "George Town"
kz: en "Kazakhstan" -> "Astana"
la: en "Laos" -> "Vientiane"
lb: en "Lebanon" -> "Beirut"
lc: en "St. Lucia" -> "Castries"
li: en "Liechtenstein" -> "Vaduz"
lk: en "Sri Lanka" -> "Sri Jayawardenepura Kotte"
lr: en "Liberia" -> "Monrovia"
ls: en "Lesotho" -> "Maseru"
lt: en "Lithuania" -> "Vilnius"
lv: en "Latvia" -> "Riga"
ly: en "Libya" -> "Tripoli"
ma: en "Morocco" -> "Rabat"
md: en "Moldova" -> "Chișinău"
me: en "Montenegro" -> "Podgorica"
mf: en "St. Martin" -> "Marigot"
mg: en "Madagascar" -> "Antananarivo"
mh: en "Marshall Islands" -> "Majuro"
mk: en "North Macedonia" -> "Skopje"
ml: en "Mali" -> "Bamako"
mm: en "Myanmar" -> "Naypyidaw"
